Molecule1_KEGG,Molecule2_KEGG,Morgan_Tanimoto_Similarity
C00575,C00002,0.8859
C00575,C00144,0.7855
C00575,C00035,0.7694
C00575,C00044,0.7619
C00575,C00055,0.6485
C00575,C00112,0.6439
C00575,C00063,0.6457
C00575,C00105,0.6304
C00575,C00015,0.6248
C00575,C00075,0.6236
C00575,C00130,0.8005
C00942,C00092,0.2669
C00942,C05345,0.272
C00942,C00354,0.2801
C00942,C00111,0.0702
C00942,C00029,0.6231
C00942,C01159,0.1496
C00942,C00197,0.1053
C00942,C00631,0.1039
C00942,C00074,0.0912
C00942,C00022,0.0207
C00942,C00345,0.1992
C00942,C00199,0.1677
C00942,C00117,0.2433
C00942,C00279,0.1249
C00942,C04442,0.185
C00942,C00227,0.0467
C00942,C00010,0.7699
C00942,C00158,0.1077
C00942,C00451,0.116
C00942,C00026,0.0491
C00942,C00042,0.0253
C00942,C00122,0.023
C00942,C00149,0.0518
C00942,C00036,0.0494
C00942,C00048,0.01
C00942,C00003,0.7289
C00942,C00006,0.7307
C00942,C00020,0.7826
C00942,C00008,0.7708
C00942,C00002,0.7662
C00942,C00144,0.9397
C00942,C00035,0.9124
C00942,C00044,0.8998
C00942,C00055,0.6086
C00942,C00112,0.6088
C00942,C00063,0.6121
C00942,C00105,0.6261
C00942,C00015,0.6253
C00942,C00075,0.6264
C00942,C00130,0.8817
C00942,C00575,0.8426
C00119,C00092,0.53
C00119,C05345,0.563
C00119,C00354,0.5461
C00119,C00111,0.1234
C00119,C00029,0.4943
C00119,C01159,0.1812
C00119,C00197,0.1733
C00119,C00631,0.1351
C00119,C00074,0.1168
C00119,C00022,0.0336
C00119,C00345,0.3074
C00119,C00199,0.2931
C00119,C00117,0.6033
C00119,C00279,0.2382
C00119,C04442,0.2806
C00119,C00227,0.0737
C00119,C00010,0.349
C00119,C00158,0.1267
C00119,C00451,0.1189
C00119,C00026,0.0617
C00119,C00042,0.0366
C00119,C00122,0.0235
C00119,C00149,0.0657
C00119,C00036,0.0639
C00119,C00048,0.0161
C00119,C00003,0.3545
C00119,C00006,0.3448
C00119,C00020,0.3303
C00119,C00008,0.3695
C00119,C00002,0.3651
C00119,C00144,0.3321
C00119,C00035,0.3654
C00119,C00044,0.3623
C00119,C00055,0.3497
C00119,C00112,0.402
C00119,C00063,0.3932
C00119,C00105,0.3541
C00119,C00015,0.4063
C00119,C00075,0.3972
C00119,C00130,0.3338
C00119,C00575,0.3251
C00119,C00942,0.3271
C00166,C00092,0.0724
C00166,C05345,0.0771
C00166,C00354,0.0758
C00166,C00111,0.117
C00166,C00029,0.0895
C00166,C01159,0.1195
C00166,C00197,0.125
C00166,C00631,0.129
C00166,C00074,0.1068
C00166,C00022,0.1925
C00166,C00345,0.0977
C00166,C00199,0.0934
C00166,C00117,0.0673
C00166,C00279,0.097
C00166,C04442,0.1253
C00166,C00227,0.0917
C00166,C00010,0.0881
C00166,C00158,0.1064
C00166,C00451,0.1035
C00166,C00026,0.1504
C00166,C00042,0.1063
C00166,C00122,0.0748
C00166,C00149,0.1184
C00166,C00036,0.1597
C00166,C00048,0.107
C00166,C00003,0.0952
C00166,C00006,0.0965
C00166,C00020,0.0822
C00166,C00008,0.0839
C00166,C00002,0.0847
C00166,C00144,0.0843
C00166,C00035,0.0854
C00166,C00044,0.0863
C00166,C00055,0.0856
C00166,C00112,0.0856
C00166,C00063,0.0857
C00166,C00105,0.0858
C00166,C00015,0.0867
C00166,C00075,0.087
C00166,C00130,0.0859
C00166,C00575,0.0862
C00166,C00942,0.0874
C00166,C00119,0.0785
C00352,C00092,0.7023
C00352,C05345,0.5737
C00352,C00354,0.555
C00352,C00111,0.1373
C00352,C00029,0.3524
C00352,C01159,0.209
C00352,C00197,0.1952
C00352,C00631,0.1609
C00352,C00074,0.1382
C00352,C00022,0.0324
C00352,C00345,0.3678
C00352,C00199,0.3226
C00352,C00117,0.5657
C00352,C00279,0.2647
C00352,C04442,0.328
C00352,C00227,0.0851
C00352,C00010,0.2878
C00352,C00158,0.1271
C00352,C00451,0.1319
C00352,C00026,0.0639
C00352,C00042,0.0376
C00352,C00122,0.0284
C00352,C00149,0.074
C00352,C00036,0.0628
C00352,C00048,0.0183
C00352,C00003,0.282
C00352,C00006,0.2797
C00352,C00020,0.2955
C00352,C00008,0.2935
C00352,C00002,0.2886
C00352,C00144,0.2892
C00352,C00035,0.285
C00352,C00044,0.2813
C00352,C00055,0.3191
C00352,C00112,0.3134
C00352,C00063,0.3072
C00352,C00105,0.32
C00352,C00015,0.315
C00352,C00075,0.3084
C00352,C00130,0.296
C00352,C00575,0.2968
C00352,C00942,0.2933
C00352,C00119,0.4501
C00352,C00166,0.0726
C03878,C00092,0.3917
C03878,C05345,0.3239
C03878,C00354,0.3191
C03878,C00111,0.0556
C03878,C00029,0.3025
C03878,C01159,0.1084
C03878,C00197,0.0768
C03878,C00631,0.1
C03878,C00074,0.0816
C03878,C00022,0.0339
C03878,C00345,0.1805
C03878,C00199,0.1582
C03878,C00117,0.2886
C03878,C00279,0.1031
C03878,C04442,0.1678
C03878,C00227,0.0351
C03878,C00010,0.2817
C03878,C00158,0.1252
C03878,C00451,0.1347
C03878,C00026,0.0703
C03878,C00042,0.0441
C03878,C00122,0.037
C03878,C00149,0.0783
C03878,C00036,0.0659
C03878,C00048,0.0224
C03878,C00003,0.2693
C03878,C00006,0.2715
C03878,C00020,0.2646
C03878,C00008,0.2672
C03878,C00002,0.2657
C03878,C00144,0.2706
C03878,C00035,0.2706
C03878,C00044,0.2681
C03878,C00055,0.2583
C03878,C00112,0.2593
C03878,C00063,0.2597
C03878,C00105,0.2559
C03878,C00015,0.2588
C03878,C00075,0.2578
C03878,C00130,0.2659
C03878,C00575,0.2689
C03878,C00942,0.277
C03878,C00119,0.2856
C03878,C00166,0.0688
C03878,C00352,0.5917
C00864,C00092,0.1215
C00864,C05345,0.1087
C00864,C00354,0.1115
C00864,C00111,0.0785
C00864,C00029,0.1195
C00864,C01159,0.1233
C00864,C00197,0.1071
C00864,C00631,0.1199
C00864,C00074,0.0981
C00864,C00022,0.0965
C00864,C00345,0.1405
C00864,C00199,0.1304
C00864,C00117,0.1119
C00864,C00279,0.131
C00864,C04442,0.1353
C00864,C00227,0.059
C00864,C00010,0.176
C00864,C00158,0.1753
C00864,C00451,0.201
C00864,C00026,0.1242
C00864,C00042,0.1197
C00864,C00122,0.0699
C00864,C00149,0.1672
C00864,C00036,0.1271
C00864,C00048,0.0635
C00864,C00003,0.125
C00864,C00006,0.1265
C00864,C00020,0.1219
C00864,C00008,0.123
C00864,C00002,0.123
C00864,C00144,0.1263
C00864,C00035,0.1252
C00864,C00044,0.1256
C00864,C00055,0.1103
C00864,C00112,0.111
C00864,C00063,0.1113
C00864,C00105,0.1177
C00864,C00015,0.1189
C00864,C00075,0.1183
C00864,C00130,0.1266
C00864,C00575,0.1237
C00864,C00942,0.1281
