Molecule1_KEGG,Molecule2_KEGG,Morgan_Tanimoto_Similarity
C00103,C04442,0.335
C00103,C00227,0.0859
C00103,C00010,0.2914
C00103,C00158,0.1332
C00103,C00451,0.1278
C00103,C00026,0.0662
C00103,C00042,0.0399
C00103,C00122,0.0268
C00103,C00149,0.0728
C00103,C00036,0.0688
C00103,C00048,0.0222
C00103,C00003,0.2944
C00103,C00006,0.2882
C00103,C00020,0.3058
C00103,C00008,0.3024
C00103,C00002,0.3012
C00103,C00144,0.3008
C00103,C00035,0.2981
C00103,C00044,0.2969
C00103,C00055,0.3275
C00103,C00112,0.3235
C00103,C00063,0.3202
C00103,C00105,0.3354
C00103,C00015,0.3308
C00103,C00075,0.3259
C00103,C00130,0.3073
C00103,C00575,0.3017
C00103,C00942,0.2971
C00103,C00119,0.6647
C00103,C00166,0.0812
C00103,C00352,0.5884
C00103,C03878,0.3791
C00103,C00864,0.1223
C00103,C00155,0.0551
C00103,C00037,0.0146
C00103,C00065,0.0337
C00103,C00073,0.062
C00103,C00049,0.0538
C00103,C00169,0.0705
C00103,C00051,0.1217
C00103,C00127,0.1364
C00103,C00004,0.2902
C00103,C00005,0.2842
C00103,C00016,0.2734
C00103,C00043,0.3627
C00103,C00118,0.1577
C00103,C00315,0.0305
C00103,C01228,0.2931
C00103,C00417,0.0823
C00103,C00024,0.2905
C00103,C00364,0.3147
C00103,C00459,0.3086
C00446,C00092,0.7743
C00446,C05345,0.617
C00446,C00354,0.5962
C00446,C00111,0.1385
C00446,C00029,0.4386
C00446,C01159,0.205
C00446,C00197,0.1927
C00446,C00631,0.1564
C00446,C00074,0.1337
C00446,C00022,0.0384
C00446,C00345,0.3709
C00446,C00199,0.3209
C00446,C00117,0.5986
C00446,C00279,0.2648
C00446,C04442,0.335
C00446,C00227,0.0859
C00446,C00010,0.2914
C00446,C00158,0.1332
C00446,C00451,0.1278
C00446,C00026,0.0662
C00446,C00042,0.0399
C00446,C00122,0.0268
C00446,C00149,0.0728
C00446,C00036,0.0688
C00446,C00048,0.0222
C00446,C00003,0.2944
C00446,C00006,0.2882
C00446,C00020,0.3058
C00446,C00008,0.3024
C00446,C00002,0.3012
C00446,C00144,0.3008
C00446,C00035,0.2981
C00446,C00044,0.2969
C00446,C00055,0.3275
C00446,C00112,0.3235
C00446,C00063,0.3202
C00446,C00105,0.3354
C00446,C00015,0.3308
C00446,C00075,0.3259
C00446,C00130,0.3073
C00446,C00575,0.3017
C00446,C00942,0.2971
C00446,C00119,0.6647
C00446,C00166,0.0812
C00446,C00352,0.5884
C00446,C03878,0.3791
C00446,C00864,0.1223
C00446,C00155,0.0551
C00446,C00037,0.0146
C00446,C00065,0.0337
C00446,C00073,0.062
C00446,C00049,0.0538
C00446,C00169,0.0705
C00446,C00051,0.1217
C00446,C00127,0.1364
C00446,C00004,0.2902
C00446,C00005,0.2842
C00446,C00016,0.2734
C00446,C00043,0.3627
C00446,C00118,0.1577
C00446,C00315,0.0305
C00446,C01228,0.2931
C00446,C00417,0.0823
C00446,C00024,0.2905
C00446,C00364,0.3147
C00446,C00459,0.3086
C00446,C00103,1
C01094,C00092,0.7159
C01094,C05345,0.9313
C01094,C00354,0.9812
C01094,C00111,0.1531
C01094,C00029,0.3323
C01094,C01159,0.2222
C01094,C00197,0.2155
C01094,C00631,0.1697
C01094,C00074,0.1382
C01094,C00022,0.0347
C01094,C00345,0.4099
C01094,C00199,0.3503
C01094,C00117,0.7479
C01094,C00279,0.292
C01094,C04442,0.3547
C01094,C00227,0.0986
C01094,C00010,0.2698
C01094,C00158,0.1279
C01094,C00451,0.1258
C01094,C00026,0.0578
C01094,C00042,0.0427
C01094,C00122,0.0301
C01094,C00149,0.0772
C01094,C00036,0.0667
C01094,C00048,0.0208
C01094,C00003,0.27
C01094,C00006,0.263
C01094,C00020,0.2894
C01094,C00008,0.2855
C01094,C00002,0.2835
C01094,C00144,0.287
C01094,C00035,0.2856
C01094,C00044,0.2827
C01094,C00055,0.3227
C01094,C00112,0.3154
C01094,C00063,0.3089
C01094,C00105,0.3272
C01094,C00015,0.3194
C01094,C00075,0.3135
C01094,C00130,0.2929
C01094,C00575,0.2821
C01094,C00942,0.2792
C01094,C00119,0.5333
C01094,C00166,0.0769
C01094,C00352,0.5413
C01094,C03878,0.3228
C01094,C00864,0.1113
C01094,C00155,0.0474
C01094,C00037,0.0164
C01094,C00065,0.0357
C01094,C00073,0.0533
C01094,C00049,0.052
C01094,C00169,0.0769
C01094,C00051,0.105
C01094,C00127,0.1176
C01094,C00004,0.2637
C01094,C00005,0.2594
C01094,C00016,0.2503
C01094,C00043,0.288
C01094,C00118,0.1747
C01094,C00315,0.026
C01094,C01228,0.28
C01094,C00417,0.0781
C01094,C00024,0.2674
C01094,C00364,0.3058
C01094,C00459,0.2946
C01094,C00103,0.587
C01094,C00446,0.587
C00116,C00092,0.046
C00116,C05345,0.0439
C00116,C00354,0.0417
C00116,C00111,0.1026
C00116,C00029,0.0165
C00116,C01159,0.082
C00116,C00197,0.129
C00116,C00631,0.1227
C00116,C00074,0.0542
C00116,C00022,0.2174
C00116,C00345,0.0676
C00116,C00199,0.0813
C00116,C00117,0.0543
C00116,C00279,0.1143
C00116,C04442,0.0692
C00116,C00227,0.0674
C00116,C00010,0.0146
C00116,C00158,0.0857
C00116,C00451,0.0818
C00116,C00026,0.1048
C00116,C00042,0.1923
C00116,C00122,0.1053
C00116,C00149,0.2022
C00116,C00036,0.101
C00116,C00048,0.1765
C00116,C00003,0.0148
C00116,C00006,0.014
C00116,C00020,0.0175
C00116,C00008,0.0167
C00116,C00002,0.0164
C00116,C00144,0.0165
C00116,C00035,0.0158
C00116,C00044,0.0156
C00116,C00055,0.0204
C00116,C00112,0.0192
C00116,C00063,0.0185
C00116,C00105,0.0205
C00116,C00015,0.0192
C00116,C00075,0.0186
C00116,C00130,0.0175
C00116,C00575,0.0163
C00116,C00942,0.0155
C00116,C00119,0.0328
C00116,C00166,0.0508
C00116,C00352,0.0372
C00116,C03878,0.0348
C00116,C00864,0.0551
C00116,C00155,0.1099
C00116,C00037,0.1579
C00116,C00065,0.2034
C00116,C00073,0.0893
C00116,C00049,0.0952
C00116,C00169,0.0215
C00116,C00051,0.0262
C00116,C00127,0.0239
C00116,C00004,0.0137
C00116,C00005,0.0132
C00116,C00016,0.0121
C00116,C00043,0.0143
C00116,C00118,0.1356
C00116,C00315,0.0877
C00116,C01228,0.0151
C00116,C00417,0.0532
C00116,C00024,0.0144
C00116,C00364,0.021
C00116,C00459,0.019
C00116,C00103,0.0376
C00116,C00446,0.0376
C00116,C01094,0.0425
C00093,C00092,0.2391
C00093,C05345,0.2281
C00093,C00354,0.2167
C00093,C00111,0.5
C00093,C00029,0.0857
C00093,C01159,0.4262
C00093,C00197,0.671
C00093,C00631,0.3485
C00093,C00074,0.295
C00093,C00022,0.0938
C00093,C00345,0.3514
C00093,C00199,0.4228
C00093,C00117,0.2826
C00093,C00279,0.5943
C00093,C04442,0.3599
C00093,C00227,0.3259
C00093,C00010,0.076
C00093,C00158,0.0871
C00093,C00451,0.0842
C00093,C00026,0.0695
C00093,C00042,0.0815
C00093,C00122,0.0576
C00093,C00149,0.117
C00093,C00036,0.0904
C00093,C00048,0.0598
C00093,C00003,0.0768
C00093,C00006,0.0729
C00093,C00020,0.0911
C00093,C00008,0.087
C00093,C00002,0.0851
C00093,C00144,0.0856
C00093,C00035,0.0824
C00093,C00044,0.0809
C00093,C00055,0.1061
C00093,C00112,0.0997
C00093,C00063,0.0963
C00093,C00105,0.1064
C00093,C00015,0.0999
C00093,C00075,0.0967
C00093,C00130,0.0912
C00093,C00575,0.085
C00093,C00942,0.0804
C00093,C00119,0.1705
C00093,C00166,0.0818
C00093,C00352,0.1937
C00093,C03878,0.0594
C00093,C00864,0.0634
C00093,C00155,0.0882
C00093,C00037,0.0579
C00093,C00065,0.0993
C00093,C00073,0.0899
C00093,C00049,0.0699
C00093,C00169,0.1854
C00093,C00051,0.0532
C00093,C00127,0.0531
C00093,C00004,0.0712
C00093,C00005,0.0686
C00093,C00016,0.0628
C00093,C00043,0.0741
C00093,C00118,0.6391
C00093,C00315,0.0355
C00093,C01228,0.0787
C00093,C00417,0.0602
C00093,C00024,0.075
C00093,C00364,0.1094
C00093,C00459,0.0987
C00093,C00103,0.1955
C00093,C00446,0.1955
C00093,C01094,0.2208
C00093,C00116,0.1923
C00152,C00092,0.0479
C00152,C05345,0.0441
C00152,C00354,0.0423
C00152,C00111,0.078
C00152,C00029,0.0524
C00152,C01159,0.0887
C00152,C00197,0.1033
C00152,C00631,0.1
C00152,C00074,0.0766
C00152,C00022,0.1746
C00152,C00345,0.1027
C00152,C00199,0.0915
C00152,C00117,0.0458
C00152,C00279,0.1038
C00152,C04442,0.1201
C00152,C00227,0.0872
C00152,C00010,0.067
C00152,C00158,0.147
C00152,C00451,0.1458
C00152,C00026,0.2381
C00152,C00042,0.3051
C00152,C00122,0.1151
C00152,C00149,0.2284
C00152,C00036,0.2256
C00152,C00048,0.1186
C00152,C00003,0.0539
C00152,C00006,0.0527
C00152,C00020,0.0494
C00152,C00008,0.0515
C00152,C00002,0.0529
C00152,C00144,0.0532
C00152,C00035,0.0537
C00152,C00044,0.0551
C00152,C00055,0.052
C00152,C00112,0.0529
C00152,C00063,0.0539
C00152,C00105,0.0542
C00152,C00015,0.0568
C00152,C00075,0.0579
C00152,C00130,0.0548
C00152,C00575,0.0511
C00152,C00942,0.0548
C00152,C00119,0.0479
C00152,C00166,0.1157
C00152,C00352,0.0745
C00152,C03878,0.0872
C00152,C00864,0.2081
C00152,C00155,0.4296
C00152,C00037,0.2143
C00152,C00065,0.3145
C00152,C00073,0.3718
C00152,C00049,0.5448
C00152,C00169,0.0625
C00152,C00051,0.1955
C00152,C00127,0.168
C00152,C00004,0.0586
C00152,C00005,0.0572
C00152,C00016,0.0561
C00152,C00043,0.0617
C00152,C00118,0.0813
C00152,C00315,0.1241
C00152,C01228,0.056
C00152,C00417,0.1647
C00152,C00024,0.0661
C00152,C00364,0.0525
C00152,C00459,0.0562
C00152,C00103,0.0506
C00152,C00446,0.0506
C00152,C01094,0.0429
C00152,C00116,0.082
C00152,C00093,0.064
C00135,C00092,0.0868
C00135,C05345,0.0906
C00135,C00354,0.0906
C00135,C00111,0.087
C00135,C00029,0.1247
C00135,C01159,0.1111
C00135,C00197,0.105
C00135,C00631,0.0916
C00135,C00074,0.0823
C00135,C00022,0.0786
C00135,C00345,0.0977
C00135,C00199,0.0847
C00135,C00117,0.0875
C00135,C00279,0.0916
C00135,C04442,0.11
C00135,C00227,0.069
C00135,C00010,0.1307
C00135,C00158,0.0947
C00135,C00451,0.095
C00135,C00026,0.0838
C00135,C00042,0.0845
C00135,C00122,0.0729
C00135,C00149,0.0828
C00135,C00036,0.0923
C00135,C00048,0.0515
C00135,C00003,0.1258
C00135,C00006,0.1265
C00135,C00020,0.1264
C00135,C00008,0.1273
C00135,C00002,0.1264
C00135,C00144,0.1288
C00135,C00035,0.1277
C00135,C00044,0.128
C00135,C00055,0.1358
C00135,C00112,0.1324
C00135,C00063,0.1311
C00135,C00105,0.1331
C00135,C00015,0.1326
C00135,C00075,0.1316
C00135,C00130,0.1311
C00135,C00575,0.1254
C00135,C00942,0.1273
C00135,C00119,0.1047
C00135,C00166,0.1675
C00135,C00352,0.1015
C00135,C03878,0.1096
C00135,C00864,0.1078
C00135,C00155,0.1377
C00135,C00037,0.0902
C00135,C00065,0.1444
C00135,C00073,0.1358
C00135,C00049,0.1388
C00135,C00169,0.0492
C00135,C00051,0.1416
C00135,C00127,0.1363
C00135,C00004,0.1281
C00135,C00005,0.1294
C00135,C00016,0.1305
C00135,C00043,0.1254
C00135,C00118,0.0857
C00135,C00315,0.0441
C00135,C01228,0.1271
C00135,C00417,0.1128
C00135,C00024,0.1299
C00135,C00364,0.1417
C00135,C00459,0.1389
C00135,C00103,0.0962
C00135,C00446,0.0962
C00135,C01094,0.0919
C00135,C00116,0.04
C00135,C00093,0.0756
C00135,C00152,0.1386
C00079,C00092,0.0611
C00079,C05345,0.0713
C00079,C00354,0.0703
C00079,C00111,0.0873
C00079,C00029,0.0884
C00079,C01159,0.1015
C00079,C00197,0.1022
C00079,C00631,0.0997
C00079,C00074,0.0781
C00079,C00022,0.1133
C00079,C00345,0.0728
C00079,C00199,0.0739
C00079,C00117,0.0649
C00079,C00279,0.0767
C00079,C04442,0.0886
C00079,C00227,0.0772
C00079,C00010,0.0879
C00079,C00158,0.0845
C00079,C00451,0.0822
C00079,C00026,0.1
C00079,C00042,0.11
C00079,C00122,0.0787
C00079,C00149,0.0992
C00079,C00036,0.1071
C00079,C00048,0.0714
C00079,C00003,0.0919
C00079,C00006,0.0934
C00079,C00020,0.0794
C00079,C00008,0.0812
C00079,C00002,0.082
C00079,C00144,0.0883
C00079,C00035,0.0885
C00079,C00044,0.0894
C00079,C00055,0.0894
C00079,C00112,0.0883
C00079,C00063,0.0883
C00079,C00105,0.0917
C00079,C00015,0.0923
C00079,C00075,0.0924
C00079,C00130,0.0902
C00079,C00575,0.0827
C00079,C00942,0.0904
C00079,C00119,0.071
C00079,C00166,0.5325
C00079,C00352,0.0754
C00079,C03878,0.0776
C00079,C00864,0.1089
C00079,C00155,0.1732
C00079,C00037,0.1263
C00079,C00065,0.199
C00079,C00073,0.168
C00079,C00049,0.1777
C00079,C00169,0.06
C00079,C00051,0.1175
C00079,C00127,0.1167
C00079,C00004,0.087
C00079,C00005,0.0881
C00079,C00016,0.0929
C00079,C00043,0.0926
C00079,C00118,0.0896
C00079,C00315,0.0498
C00079,C01228,0.0886
C00079,C00417,0.1018
C00079,C00024,0.0883
C00079,C00364,0.0929
C00079,C00459,0.0941
C00079,C00103,0.0649
C00079,C00446,0.0649
C00079,C01094,0.0713
C00079,C00116,0.05
C00079,C00093,0.0691
C00079,C00152,0.189
C00079,C00135,0.2737
C00123,C00092,0.0621
C00123,C05345,0.0535
C00123,C00354,0.0512
C00123,C00111,0.0909
C00123,C00029,0.0523
C00123,C01159,0.0971
C00123,C00197,0.1062
C00123,C00631,0.1121
C00123,C00074,0.0776
C00123,C00022,0.213
C00123,C00345,0.1236
C00123,C00199,0.1036
C00123,C00117,0.0619
C00123,C00279,0.1111
C00123,C04442,0.1429
C00123,C00227,0.0897
C00123,C00010,0.0548
C00123,C00158,0.1836
C00123,C00451,0.1723
C00123,C00026,0.2649
C00123,C00042,0.2804
C00123,C00122,0.1311
C00123,C00149,0.2133
C00123,C00036,0.2105
C00123,C00048,0.1386
C00123,C00003,0.0432
C00123,C00006,0.0454
C00123,C00020,0.0421
C00123,C00008,0.0428
C00123,C00002,0.0419
C00123,C00144,0.0472
C00123,C00035,0.0463
C00123,C00044,0.0455
C00123,C00055,0.0519
C00123,C00112,0.0498
C00123,C00063,0.0482
C00123,C00105,0.051
C00123,C00015,0.0509
C00123,C00075,0.0493
C00123,C00130,0.0475
C00123,C00575,0.0435
C00123,C00942,0.0483
C00123,C00119,0.0538
C00123,C00166,0.1146
C00123,C00352,0.0897
C00123,C03878,0.0896
C00123,C00864,0.1747
C00123,C00155,0.5043
C00123,C00037,0.2526
C00123,C00065,0.3645
C00123,C00073,0.4275
C00123,C00049,0.4286
C00123,C00169,0.0559
C00123,C00051,0.1949
C00123,C00127,0.1642
C00123,C00004,0.0457
C00123,C00005,0.0461
C00123,C00016,0.0472
C00123,C00043,0.0557
C00123,C00118,0.0885
C00123,C00315,0.123
C00123,C01228,0.0473
C00123,C00417,0.1568
C00123,C00024,0.0541
C00123,C00364,0.0481
C00123,C00459,0.0464
C00123,C00103,0.0627
C00123,C00446,0.0627
C00123,C01094,0.052
C00123,C00116,0.0952
C00123,C00093,0.0642
C00123,C00152,0.4082
C00123,C00135,0.146
C00123,C00079,0.1777
C00263,C00092,0.0496
C00263,C05345,0.0475
C00263,C00354,0.0454
C00263,C00111,0.0964
C00263,C00029,0.0388
C00263,C01159,0.0893
C00263,C00197,0.1122
C00263,C00631,0.1185
C00263,C00074,0.0806
C00263,C00022,0.2529
C00263,C00345,0.1216
C00263,C00199,0.1038
C00263,C00117,0.0525
C00263,C00279,0.1171
C00263,C04442,0.1313
C00263,C00227,0.1045
C00263,C00010,0.0434
C00263,C00158,0.1516
C00263,C00451,0.1548
C00263,C00026,0.2519
C00263,C00042,0.4557
C00263,C00122,0.16
C00263,C00149,0.3008
C00263,C00036,0.296
C00263,C00048,0.1772
C00263,C00003,0.0363
C00263,C00006,0.0359
C00263,C00020,0.0358
C00263,C00008,0.0359
C00263,C00002,0.0352
C00263,C00144,0.0412
C00263,C00035,0.0397
C00263,C00044,0.039
C00263,C00055,0.0426
C00263,C00112,0.041
C00263,C00063,0.0397
C00263,C00105,0.0417
C00263,C00015,0.0421
C00263,C00075,0.0408
C00263,C00130,0.0385
C00263,C00575,0.0359
C00263,C00942,0.0412
C00263,C00119,0.0443
C00263,C00166,0.1064
C00263,C00352,0.0758
C00263,C03878,0.0819
C00263,C00864,0.1715
C00263,C00155,0.5876
C00263,C00037,0.3288
C00263,C00065,0.4588
C00263,C00073,0.4831
C00263,C00049,0.7684
C00263,C00169,0.0647
C00263,C00051,0.1532
C00263,C00127,0.1293
C00263,C00004,0.0386
C00263,C00005,0.0379
C00263,C00016,0.0372
C00263,C00043,0.0468
C00263,C00118,0.0936
C00263,C00315,0.1275
C00263,C01228,0.0403
C00263,C00417,0.1784
C00263,C00024,0.0429
C00263,C00364,0.0375
C00263,C00459,0.0368
C00263,C00103,0.0485
C00263,C00446,0.0485
C00263,C01094,0.0462
C00263,C00116,0.1205
C00263,C00093,0.0727
C00263,C00152,0.4919
C00263,C00135,0.1376
C00263,C00079,0.1794
C00263,C00123,0.5135
C00097,C00092,0.0398
C00097,C05345,0.034
C00097,C00354,0.0324
C00097,C00111,0.1039
C00097,C00029,0.0349
C00097,C01159,0.0932
C00097,C00197,0.1368
C00097,C00631,0.12
C00097,C00074,0.08
C00097,C00022,0.2933
C00097,C00345,0.0818
C00097,C00199,0.0734
C00097,C00117,0.0387
C00097,C00279,0.0926
C00097,C04442,0.087
C00097,C00227,0.124
C00097,C00010,0.0377
C00097,C00158,0.098
C00097,C00451,0.0941
C00097,C00026,0.1716
C00097,C00042,0.2716
C00097,C00122,0.1685
C00097,C00149,0.1935
C00097,C00036,0.1905
C00097,C00048,0.209
C00097,C00003,0.0298
C00097,C00006,0.0305
C00097,C00020,0.0291
C00097,C00008,0.0304
C00097,C00002,0.0297
C00097,C00144,0.0332
C00097,C00035,0.032
C00097,C00044,0.0314
C00097,C00055,0.0369
C00097,C00112,0.0356
C00097,C00063,0.0354
C00097,C00105,0.038
C00097,C00015,0.0386
C00097,C00075,0.0384
C00097,C00130,0.0327
C00097,C00575,0.0296
C00097,C00942,0.0336
C00097,C00119,0.0323
C00097,C00166,0.1022
C00097,C00352,0.051
C00097,C03878,0.0601
C00097,C00864,0.1277
C00097,C00155,0.4639
C00097,C00037,0.3934
C00097,C00065,0.5556
C00097,C00073,0.3814
C00097,C00049,0.3333
C00097,C00169,0.0794
C00097,C00051,0.1459
C00097,C00127,0.1228
C00097,C00004,0.0319
C00097,C00005,0.0321
C00097,C00016,0.0294
C00097,C00043,0.0376
C00097,C00118,0.1218
C00097,C00315,0.1075
C00097,C01228,0.0329
C00097,C00417,0.1168
C00097,C00024,0.0372
C00097,C00364,0.0369
C00097,C00459,0.0372
C00097,C00103,0.0367
C00097,C00446,0.0367
C00097,C01094,0.033
C00097,C00116,0.1571
C00097,C00093,0.0927
C00097,C00152,0.291
C00097,C00135,0.1474
C00097,C00079,0.184
C00097,C00123,0.3448
C00097,C00263,0.4105
C00493,C00092,0.1976
C00493,C05345,0.1915
C00493,C00354,0.1901
C00493,C00111,0.0734
C00493,C00029,0.1927
C00493,C01159,0.1335
C00493,C00197,0.1102
C00493,C00631,0.1202
C00493,C00074,0.115
C00493,C00022,0.0647
C00493,C00345,0.2919
C00493,C00199,0.1816
C00493,C00117,0.1764
C00493,C00279,0.141
C00493,C04442,0.2681
C00493,C00227,0.0637
C00493,C00010,0.1844
C00493,C00158,0.2038
C00493,C00451,0.2122
C00493,C00026,0.1375
C00493,C00042,0.1047
C00493,C00122,0.1105
C00493,C00149,0.1495
C00493,C00036,0.1144
C00493,C00048,0.0384
C00493,C00003,0.1781
C00493,C00006,0.179
C00493,C00020,0.1856
C00493,C00008,0.1835
C00493,C00002,0.1834
C00493,C00144,0.1852
C00493,C00035,0.1815
C00493,C00044,0.1819
C00493,C00055,0.1945
C00493,C00112,0.1952
C00493,C00063,0.1942
C00493,C00105,0.1907
C00493,C00015,0.1925
C00493,C00075,0.191
C00493,C00130,0.1812
C00493,C00575,0.1867
C00493,C00942,0.1859
C00493,C00119,0.1846
C00493,C00166,0.0791
C00493,C00352,0.2059
C00493,C03878,0.1977
C00493,C00864,0.1283
C00493,C00155,0.0891
C00493,C00037,0.0436
C00493,C00065,0.0733
C00493,C00073,0.0873
C00493,C00049,0.121
C00493,C00169,0.0483
C00493,C00051,0.1496
C00493,C00127,0.1571
C00493,C00004,0.1928
C00493,C00005,0.1914
C00493,C00016,0.1762
C00493,C00043,0.1889
C00493,C00118,0.075
C00493,C00315,0.0282
C00493,C01228,0.1806
C00493,C00417,0.3561
C00493,C00024,0.1845
C00493,C00364,0.177
C00493,C00459,0.1785
C00493,C00103,0.2008
C00493,C00446,0.2008
C00493,C01094,0.1925
C00493,C00116,0.0557
C00493,C00093,0.0793
C00493,C00152,0.1005
C00493,C00135,0.1101
C00493,C00079,0.0786
C00493,C00123,0.1238
C00493,C00263,0.1077
C00493,C00097,0.0714
C00077,C00092,0.0606
C00077,C05345,0.0541
C00077,C00354,0.0517
C00077,C00111,0.0934
C00077,C00029,0.0517
C00077,C01159,0.0951
C00077,C00197,0.1086
C00077,C00631,0.1195
C00077,C00074,0.0793
C00077,C00022,0.2115
C00077,C00345,0.1221
C00077,C00199,0.0945
C00077,C00117,0.0626
C00077,C00279,0.1042
C00077,C04442,0.128
C00077,C00227,0.0927
C00077,C00010,0.0512
C00077,C00158,0.155
C00077,C00451,0.1536
C00077,C00026,0.2653
C00077,C00042,0.2941
C00077,C00122,0.1368
C00077,C00149,0.2123
C00077,C00036,0.2177
C00077,C00048,0.1458
C00077,C00003,0.0426
C00077,C00006,0.0434
C00077,C00020,0.0405
C00077,C00008,0.0422
C00077,C00002,0.0413
C00077,C00144,0.0465
C00077,C00035,0.0473
C00077,C00044,0.0464
C00077,C00055,0.0521
C00077,C00112,0.051
C00077,C00063,0.0493
C00077,C00105,0.0502
C00077,C00015,0.0521
C00077,C00075,0.0505
C00077,C00130,0.0459
C00077,C00575,0.042
C00077,C00942,0.0477
C00077,C00119,0.059
C00077,C00166,0.108
C00077,C00352,0.0923
C00077,C03878,0.0939
C00077,C00864,0.1536
C00077,C00155,0.5405
C00077,C00037,0.2667
C00077,C00065,0.3824
C00077,C00073,0.4545
C00077,C00049,0.4453
C00077,C00169,0.0577
C00077,C00051,0.2426
C00077,C00127,0.1996
C00077,C00004,0.0459
C00077,C00005,0.0456
C00077,C00016,0.0455
C00077,C00043,0.0566
C00077,C00118,0.0851
C00077,C00315,0.1478
C00077,C01228,0.0483
C00077,C00417,0.1552
C00077,C00024,0.0505
C00077,C00364,0.0494
C00077,C00459,0.0495
C00077,C00103,0.0632
C00077,C00446,0.0632
C00077,C01094,0.0525
C00077,C00116,0.1
C00077,C00093,0.0718
C00077,C00152,0.4225
C00077,C00135,0.1447
C00077,C00079,0.1715
C00077,C00123,0.6818
C00077,C00263,0.5377
C00077,C00097,0.3727
C00077,C00493,0.1197
C02291,C00092,0.0855
C02291,C05345,0.0729
C02291,C00354,0.07
C02291,C00111,0.084
C02291,C00029,0.0852
C02291,C01159,0.1093
C02291,C00197,0.1201
C02291,C00631,0.1168
C02291,C00074,0.0893
C02291,C00022,0.1314
C02291,C00345,0.1309
C02291,C00199,0.1178
C02291,C00117,0.0794
C02291,C00279,0.1196
C02291,C04442,0.136
C02291,C00227,0.0822
C02291,C00010,0.0912
C02291,C00158,0.1315
C02291,C00451,0.1377
C02291,C00026,0.1622
C02291,C00042,0.1792
C02291,C00122,0.0904
C02291,C00149,0.169
C02291,C00036,0.1729
C02291,C00048,0.0833
C02291,C00003,0.0852
C02291,C00006,0.0854
C02291,C00020,0.084
C02291,C00008,0.0847
C02291,C00002,0.0838
C02291,C00144,0.086
C02291,C00035,0.0845
C02291,C00044,0.0847
C02291,C00055,0.0876
C02291,C00112,0.0856
C02291,C00063,0.0866
C02291,C00105,0.091
C02291,C00015,0.0907
C02291,C00075,0.0918
C02291,C00130,0.0859
C02291,C00575,0.082
C02291,C00942,0.0842
C02291,C00119,0.0767
C02291,C00166,0.1115
C02291,C00352,0.0991
C02291,C03878,0.1168
C02291,C00864,0.1582
C02291,C00155,0.5
C02291,C00037,0.1481
C02291,C00065,0.2312
C02291,C00073,0.6296
C02291,C00049,0.2915
C02291,C00169,0.058
C02291,C00051,0.2059
C02291,C00127,0.1766
C02291,C00004,0.0842
C02291,C00005,0.0847
C02291,C00016,0.0827
C02291,C00043,0.0929
C02291,C00118,0.0996
C02291,C00315,0.0851
C02291,C01228,0.0833
C02291,C00417,0.1184
C02291,C00024,0.0924
C02291,C00364,0.0859
C02291,C00459,0.0867
C02291,C00103,0.0878
C02291,C00446,0.0878
C02291,C01094,0.0711
C02291,C00116,0.0706
C02291,C00093,0.0857
C02291,C00152,0.2685
C02291,C00135,0.1293
C02291,C00079,0.1541
C02291,C00123,0.298
C02291,C00263,0.3277
C02291,C00097,0.3765
C02291,C00493,0.1062
C02291,C00077,0.3263
C00033,C00092,0.0181
C00033,C05345,0.0173
C00033,C00354,0.0165
C00033,C00111,0.0885
C00033,C00029,0.009
C00033,C01159,0.0574
C00033,C00197,0.0903
C00033,C00631,0.0859
C00033,C00074,0.0903
C00033,C00022,0.3889
C00033,C00345,0.0473
C00033,C00199,0.04
C00033,C00117,0.0187
C00033,C00279,0.0559
C00033,C04442,0.0484
C00033,C00227,0.1867
C00033,C00010,0.0088
C00033,C00158,0.0673
C00033,C00451,0.0642
C00033,C00026,0.1458
C00033,C00042,0.3333
C00033,C00122,0.3256
C00033,C00149,0.1609
C00033,C00036,0.1573
C00033,C00048,0.7
C00033,C00003,0.0081
C00033,C00006,0.0077
C00033,C00020,0.0078
C00033,C00008,0.0075
C00033,C00002,0.0073
C00033,C00144,0.0074
C00033,C00035,0.0071
C00033,C00044,0.007
C00033,C00055,0.0091
C00033,C00112,0.0086
C00033,C00063,0.0083
C00033,C00105,0.0112
C00033,C00015,0.0105
C00033,C00075,0.0102
C00033,C00130,0.0079
C00033,C00575,0.0081
C00033,C00942,0.0077
C00033,C00119,0.0113
C00033,C00166,0.0749
C00033,C00352,0.0147
C00033,C03878,0.0191
C00033,C00864,0.0565
C00033,C00155,0.1728
C00033,C00037,0.5833
C00033,C00065,0.2745
C00033,C00073,0.1373
C00033,C00049,0.1474
C00033,C00169,0.0723
C00033,C00051,0.0377
C00033,C00127,0.031
C00033,C00004,0.0082
C00033,C00005,0.0079
C00033,C00016,0.006
C00033,C00043,0.0093
C00033,C00118,0.0847
C00033,C00315,0.037
C00033,C01228,0.0075
C00033,C00417,0.0787
C00033,C00024,0.0086
C00033,C00364,0.0105
C00033,C00459,0.0095
C00033,C00103,0.0149
C00033,C00446,0.0149
C00033,C01094,0.0168
C00033,C00116,0.2143
C00033,C00093,0.0631
C00033,C00152,0.125
C00033,C00135,0.0526
C00033,C00079,0.0737
C00033,C00123,0.1474
C00033,C00263,0.1918
C00033,C00097,0.2295
C00033,C00493,0.039
C00033,C00077,0.1556
C00033,C02291,0.0864
C01236,C00092,0.5778
