Molecule1_KEGG,Molecule2_KEGG,USRCAT_Score
C00006,C00029,0.1714
C00006,C01159,0.0566
C00006,C00197,0.0554
C00006,C00631,0.053
C00006,C00074,0.0551
C00006,C00022,0.0485
C00006,C00345,0.0612
C00006,C00199,0.0594
C00006,C00117,0.0575
C00006,C00279,0.0553
C00006,C04442,0.0647
C00006,C00227,0.0522
C00006,C00010,0.1028
C00006,C00158,0.0559
C00006,C00451,0.0569
C00006,C00026,0.0577
C00006,C00042,0.0543
C00006,C00122,0.054
C00006,C00149,0.0542
C00006,C00036,0.0548
C00006,C00048,0.0485
C00006,C00003,0.3372
C00020,C00092,0.1561
C00020,C05345,0.1625
C00020,C00354,0.202
C00020,C00111,0.1408
C00020,C00029,0.0772
C00020,C01159,0.1401
C00020,C00197,0.1296
C00020,C00631,0.1165
C00020,C00074,0.1049
C00020,C00022,0.0914
C00020,C00345,0.1809
C00020,C00199,0.1673
C00020,C00117,0.152
C00020,C00279,0.133
C00020,C04442,0.156
C00020,C00227,0.0957
C00020,C00010,0.1151
C00020,C00158,0.1095
C00020,C00451,0.1135
C00020,C00026,0.1159
C00020,C00042,0.1099
C00020,C00122,0.1086
C00020,C00149,0.1073
C00020,C00036,0.1096
C00020,C00048,0.0998
C00020,C00003,0.0828
C00020,C00006,0.08
C00008,C00092,0.1185
C00008,C05345,0.121
C00008,C00354,0.1475
C00008,C00111,0.1078
C00008,C00029,0.0885
C00008,C01159,0.109
C00008,C00197,0.1028
C00008,C00631,0.0943
C00008,C00074,0.0865
C00008,C00022,0.0772
C00008,C00345,0.1341
C00008,C00199,0.1248
C00008,C00117,0.1153
C00008,C00279,0.1055
C00008,C04442,0.1182
C00008,C00227,0.0803
C00008,C00010,0.1271
C00008,C00158,0.0892
C00008,C00451,0.0925
C00008,C00026,0.094
C00008,C00042,0.09
C00008,C00122,0.0892
C00008,C00149,0.088
C00008,C00036,0.0898
C00008,C00048,0.0831
C00008,C00003,0.0948
C00008,C00006,0.0924
C00008,C00020,0.2975
C00002,C00092,0.0947
C00002,C05345,0.0953
C00002,C00354,0.1111
C00002,C00111,0.0891
C00002,C00029,0.0981
C00002,C01159,0.0885
C00002,C00197,0.0845
C00002,C00631,0.079
C00002,C00074,0.0732
C00002,C00022,0.0665
C00002,C00345,0.1056
C00002,C00199,0.0976
C00002,C00117,0.0919
C00002,C00279,0.0863
C00002,C04442,0.0937
C00002,C00227,0.0688
C00002,C00010,0.1186
C00002,C00158,0.0747
C00002,C00451,0.0769
C00002,C00026,0.0786
C00002,C00042,0.0759
C00002,C00122,0.0754
C00002,C00149,0.0742
C00002,C00036,0.0756
C00002,C00048,0.0709
C00002,C00003,0.1018
C00002,C00006,0.0993
C00002,C00020,0.1836
C00002,C00008,0.3055
C00144,C00092,0.1663
C00144,C05345,0.1697
C00144,C00354,0.2181
C00144,C00111,0.1446
C00144,C00029,0.0784
C00144,C01159,0.1429
C00144,C00197,0.1357
C00144,C00631,0.1211
C00144,C00074,0.109
C00144,C00022,0.0925
C00144,C00345,0.1885
C00144,C00199,0.1715
C00144,C00117,0.1547
C00144,C00279,0.1369
C00144,C04442,0.1542
C00144,C00227,0.0979
C00144,C00010,0.1185
C00144,C00158,0.1136
C00144,C00451,0.1162
C00144,C00026,0.1194
C00144,C00042,0.1114
C00144,C00122,0.11
C00144,C00149,0.1119
C00144,C00036,0.1128
C00144,C00048,0.1011
C00144,C00003,0.0835
C00144,C00006,0.0798
C00144,C00020,0.5857
C00144,C00008,0.2701
C00144,C00002,0.1723
C00035,C00092,0.1237
C00035,C05345,0.1245
C00035,C00354,0.1529
C00035,C00111,0.109
C00035,C00029,0.0911
C00035,C01159,0.1107
C00035,C00197,0.1061
C00035,C00631,0.0969
C00035,C00074,0.089
C00035,C00022,0.0778
C00035,C00345,0.1349
C00035,C00199,0.1261
C00035,C00117,0.1157
C00035,C00279,0.1072
C00035,C04442,0.1185
C00035,C00227,0.0818
C00035,C00010,0.1327
C00035,C00158,0.0922
C00035,C00451,0.094
C00035,C00026,0.0962
C00035,C00042,0.0907
C00035,C00122,0.0898
C00035,C00149,0.0909
C00035,C00036,0.0918
C00035,C00048,0.0838
C00035,C00003,0.0983
C00035,C00006,0.0934
C00035,C00020,0.2777
C00035,C00008,0.5466
C00035,C00002,0.2703
C00035,C00144,0.294
C00044,C00092,0.0973
C00044,C05345,0.0964
C00044,C00354,0.1126
C00044,C00111,0.0901
C00044,C00029,0.1014
C00044,C01159,0.0892
C00044,C00197,0.0862
C00044,C00631,0.0797
C00044,C00074,0.0746
C00044,C00022,0.0668
C00044,C00345,0.1055
C00044,C00199,0.0982
C00044,C00117,0.0913
C00044,C00279,0.0876
C00044,C04442,0.0939
C00044,C00227,0.0694
C00044,C00010,0.121
C00044,C00158,0.0759
C00044,C00451,0.0776
C00044,C00026,0.0795
C00044,C00042,0.0762
C00044,C00122,0.0755
C00044,C00149,0.0758
C00044,C00036,0.0765
C00044,C00048,0.0712
C00044,C00003,0.107
C00044,C00006,0.1024
C00044,C00020,0.1788
C00044,C00008,0.2897
C00044,C00002,0.5903
C00044,C00144,0.1782
C00044,C00035,0.2937
C00055,C00092,0.1287
C00055,C05345,0.1359
C00055,C00354,0.159
C00055,C00111,0.1185
C00055,C00029,0.0776
C00055,C01159,0.1184
C00055,C00197,0.111
C00055,C00631,0.103
C00055,C00074,0.1086
C00055,C00022,0.0924
C00055,C00345,0.1453
C00055,C00199,0.1381
C00055,C00117,0.1294
C00055,C00279,0.1163
C00055,C04442,0.1881
C00055,C00227,0.0951
C00055,C00010,0.1263
C00055,C00158,0.1139
C00055,C00451,0.1122
C00055,C00026,0.1139
C00055,C00042,0.1092
C00055,C00122,0.1079
C00055,C00149,0.1058
C00055,C00036,0.1083
C00055,C00048,0.089
C00055,C00003,0.0805
C00055,C00006,0.0779
C00055,C00020,0.2862
C00055,C00008,0.1739
C00055,C00002,0.1278
C00055,C00144,0.2536
C00055,C00035,0.1663
C00055,C00044,0.125
C00112,C00092,0.0983
C00112,C05345,0.1026
C00112,C00354,0.1185
C00112,C00111,0.0909
C00112,C00029,0.0896
C00112,C01159,0.092
C00112,C00197,0.0878
C00112,C00631,0.0826
C00112,C00074,0.0861
C00112,C00022,0.0758
C00112,C00345,0.1095
C00112,C00199,0.104
C00112,C00117,0.0977
C00112,C00279,0.091
C00112,C04442,0.1301
C00112,C00227,0.0776
C00112,C00010,0.145
C00112,C00158,0.0895
C00112,C00451,0.0885
C00112,C00026,0.0897
C00112,C00042,0.0867
C00112,C00122,0.0859
C00112,C00149,0.0842
C00112,C00036,0.086
C00112,C00048,0.0735
C00112,C00003,0.094
C00112,C00006,0.0909
C00112,C00020,0.1886
C00112,C00008,0.243
C00112,C00002,0.1587
C00112,C00144,0.1769
C00112,C00035,0.2153
C00112,C00044,0.154
C00112,C00055,0.2643
